code,category,name,price,currency,rating,rating_count,store_type,url,url_picture
100232124275,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Kids Mickey Mouse сине-желтый,2131,RUR,4.5,81,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-kids-mickey-mouse/100232124275,https://avatars.mds.yandex.net/get-mpic/1453843/img_id4964967896950188728.jpeg/orig
100232124275,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Kids Mickey Mouse сине-желтый,1890,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-kids-mickey-mouse/100232124275,https://avatars.mds.yandex.net/get-mpic/1453843/img_id4964967896950188728.jpeg/orig
100232135628,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Pro 500 CrossAction бело-голубой,3063,RUR,5,104,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-pro-500-crossaction/100232135628,https://avatars.mds.yandex.net/get-mpic/1866085/img_id8179013122349409168/orig
100232135628,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Pro 500 CrossAction бело-голубой,2390,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-pro-500-crossaction/100232135628,https://avatars.mds.yandex.net/get-mpic/1866085/img_id8179013122349409168/orig
100232136548,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Pro 570 CrossAction бело-голубой,2902,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-pro-570-crossaction/100232136548,https://avatars.mds.yandex.net/get-mpic/1927699/img_id1837864075439579457.jpeg/orig
100232136548,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Pro 570 CrossAction бело-голубой,3504,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-pro-570-crossaction/100232136548,https://avatars.mds.yandex.net/get-mpic/1927699/img_id1837864075439579457.jpeg/orig
100232137631,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Vitality CrossAction бело-голубой,1558,RUR,4.5,40,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-vitality-crossaction/100232137631,https://avatars.mds.yandex.net/get-mpic/1680954/img_id6408985942003248691.jpeg/orig
100232137631,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Vitality CrossAction бело-голубой,1190,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-vitality-crossaction/100232137631,https://avatars.mds.yandex.net/get-mpic/1680954/img_id6408985942003248691.jpeg/orig
100232519595,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Smart 6 6000N бело-голубой,7243,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-smart-6-6000n/100232519595,https://avatars.mds.yandex.net/get-mpic/1865652/img_id4752057313486324153.jpeg/orig
100232519595,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Smart 6 6000N бело-голубой,8990,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-smart-6-6000n/100232519595,https://avatars.mds.yandex.net/get-mpic/1865652/img_id4752057313486324153.jpeg/orig
100232521850,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Stages Power Звездные войны D12.513K сине-красный,1429,RUR,4.5,25,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-stages-power-zvezdnye-voiny-d12-513k/100232521850,https://avatars.mds.yandex.net/get-mpic/1522540/img_id5768292053013554074.jpeg/orig
100232521850,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Stages Power Звездные войны D12.513K сине-красный,1342,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-stages-power-zvezdnye-voiny-d12-513k/100232521850,https://avatars.mds.yandex.net/get-mpic/1522540/img_id5768292053013554074.jpeg/orig
100232526144,Электрические зубные щетки/Oral-B,"Электрическая зубная щетка Oral-B Stages Power Холодное сердце Эльза, Анна, Олаф D12.513K сине-красный",1150,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-stages-power-kholodnoe-serdtse-elza-anna-olaf-d12-513k/100232526144,https://avatars.mds.yandex.net/get-mpic/1525355/img_id3225551867790168768.jpeg/orig
100232526144,Электрические зубные щетки/Oral-B,"Электрическая зубная щетка Oral-B Stages Power Холодное сердце Эльза, Анна, Олаф D12.513K сине-красный",1190,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-stages-power-kholodnoe-serdtse-elza-anna-olaf-d12-513k/100232526144,https://avatars.mds.yandex.net/get-mpic/1525355/img_id3225551867790168768.jpeg/orig
100232534699,Электрические зубные щетки/Oral-B,Электрическая зубная щетка Oral-B Stages Power Тачки DB4.510K сине-красный,2499,RUR,0,0,Беру,https://beru.ru/product/elektricheskaia-zubnaia-shchetka-oral-b-stages-power-tachki-db4-510k/100232534699,https://avatars.mds.yandex.net/get-mpic/96484/img_id1134138946990400340/orig
